CustomerID,Recency,Frequency,Monetary,TotItems,MaxItems,MeanBasketItems,UniqueItems,PReturn,MaxSale,MeanBasketSale,MeanItemSale,E-Prods,E-Sale,E-Baskets,E-Intervals,PurchasingFreq,WeekDayPref,WeekMonthPref,ItemPref,MainCountry
12347,40,7,4310.0,2458,676,351,103,0.0,1294.32,615.71,3.13,6.02,3.17,0.86,1.92,67.86,0,2,23076,Iceland
12348,76,4,1797.24,2341,1254,585,22,0.0,892.8,449.31,6.4,4.23,1.86,0.81,1.58,70.5,3,3,23077,Finland
12349,19,1,1757.55,631,631,631,73,0.0,1757.55,1757.55,14.89,5.8,3.1,-0.0,-0.0,0.0,0,3,21231,Italy
12350,311,1,334.4,197,197,197,17,0.0,334.4,334.4,7.18,3.98,2.4,-0.0,-0.0,0.0,2,1,22348,Norway
12352,73,8,2506.04,536,127,67,59,11.75,840.3,313.26,38.74,5.57,2.74,1.41,2.25,33.5,1,2,84050,Norway
12353,204,1,89.0,20,20,20,4,0.0,89.0,89.0,4.78,1.85,1.5,-0.0,-0.0,0.0,3,3,37446,Bahrain
12354,233,1,1079.4,530,530,530,58,0.0,1079.4,1079.4,5.27,5.29,3.06,-0.0,-0.0,0.0,3,3,21239,Spain
12355,96,1,459.4,240,240,240,13,0.0,459.4,459.4,5.39,2.65,2.2,-0.0,-0.0,0.0,0,1,23076,Bahrain
12356,23,3,2811.43,1591,1216,530,53,0.0,2271.62,937.14,4.44,5.27,2.86,0.92,1.0,100.67,2,2,84991,Portugal
12357,182,1,6207.67,2708,2708,2708,131,0.0,6207.67,6207.67,4.94,6.68,3.15,-0.0,-0.0,0.0,5,2,22632,Switzerland
12358,3,2,1168.06,248,148,124,13,0.0,683.2,584.03,8.19,3.24,2.35,-0.0,-0.0,58.0,3,1,15056BL,Austria
12359,9,4,6372.58,1622,657,405,214,0.0,2876.85,1593.15,13.87,7.34,2.94,-0.0,1.58,67.5,4,1,22423,Cyprus
12360,53,3,2662.06,1165,491,388,105,0.0,1083.58,887.35,5.09,6.53,3.11,-0.0,1.0,49.33,1,3,22492,Austria
12361,288,1,189.9,91,91,91,10,0.0,189.9,189.9,5.39,3.18,1.85,-0.0,-0.0,0.0,4,4,22555,Belgium
12362,30,10,5226.23,2229,340,222,201,0.72,829.99,522.62,5.39,7.19,3.17,0.72,2.73,26.6,2,2,22629,Belgium
12363,36,2,552.0,408,282,204,23,0.0,299.1,276.0,3.08,4.29,2.4,-0.0,-0.0,37.0,2,2,22952,Unspecified
12364,41,4,1313.1,1506,555,376,70,0.0,623.92,328.28,3.34,5.69,2.48,1.5,1.58,65.0,4,3,23310,Belgium
12365,292,2,641.38,174,173,87,22,0.0,320.69,320.69,38.82,4.26,2.46,-0.0,-0.0,0.0,0,3,20972,Cyprus
12367,212,1,168.9,173,173,173,11,0.0,168.9,168.9,4.09,2.86,2.41,-0.0,-0.0,0.0,3,2,16237,Denmark
12370,52,4,3545.69,2353,1005,588,143,0.0,1590.82,886.42,5.22,5.98,3.03,0.81,1.58,77.25,1,2,84568,Cyprus
12371,30,2,1887.96,591,582,295,63,0.0,1527.96,943.98,5.42,5.74,2.92,1.0,-0.0,7.5,2,3,72741,Switzerland
12372,35,3,1298.04,794,368,264,34,0.0,515.7,432.68,5.02,4.77,2.8,0.92,1.0,87.0,3,3,22556,Denmark
12373,342,1,364.6,197,197,197,14,0.0,364.6,364.6,9.48,3.58,2.22,-0.0,-0.0,0.0,6,1,20724,Austria
12374,26,1,742.93,342,342,342,33,0.0,742.93,742.93,6.03,4.77,2.94,-0.0,-0.0,0.0,0,2,21788,Austria
12375,11,2,457.5,178,91,89,14,0.0,230.3,228.75,11.01,3.47,1.73,-0.0,-0.0,146.0,1,3,23200,Finland
12377,316,2,1628.12,944,604,472,72,0.0,1001.52,814.06,5.26,5.83,3.01,-0.0,-0.0,19.5,2,3,22539,Switzerland
12378,305,1,4008.62,2529,2529,2529,219,0.0,4008.62,4008.62,4.38,7.09,3.23,-0.0,-0.0,0.0,1,2,84568,Switzerland
12379,82,2,852.24,407,211,203,39,0.25,459.84,426.12,3.53,5.07,2.9,-0.0,-0.0,44.0,1,3,22740,Belgium
12380,22,4,2724.81,1127,315,281,77,0.09,1040.39,681.2,5.25,5.9,3.08,-0.0,1.58,33.75,3,2,22326,Belgium
12381,0,5,1845.31,808,568,161,70,0.0,1268.74,369.06,5.05,5.8,3.27,0.97,2.0,42.2,3,2,22492,Norway
12383,9,5,1850.56,1532,754,306,84,0.0,651.16,370.11,4.92,5.72,2.95,1.52,1.5,68.6,2,2,22489,Belgium
12384,29,2,585.27,126,64,63,26,0.0,292.69,292.64,8.09,4.41,2.47,-0.0,-0.0,16.5,4,2,21892,Switzerland
12386,192,2,401.9,354,214,177,10,0.0,258.9,200.95,2.82,2.64,2.45,1.0,-0.0,146.5,2,1,22915,Australia
12388,16,6,2780.66,1462,478,243,57,0.0,902.09,463.44,3.03,5.43,2.72,1.46,2.32,51.83,3,2,22338,Australia
12390,80,1,549.84,353,353,353,32,0.0,549.84,549.84,4.47,4.52,3.12,-0.0,-0.0,0.0,2,3,22492,Belgium
12391,22,1,460.89,300,300,300,92,0.0,460.89,460.89,3.34,5.48,3.08,-0.0,-0.0,0.0,4,3,16238,Cyprus
12393,39,4,1582.6,816,294,204,47,0.0,521.5,395.65,2.4,5.22,2.6,0.81,1.58,72.5,2,2,20726,Australia
12394,153,2,1272.48,819,637,409,26,0.0,891.4,636.24,4.62,3.16,2.75,1.0,-0.0,17.0,6,1,23295,Belgium
12395,5,12,3018.63,2118,528,176,91,0.09,346.68,251.55,5.93,5.65,3.13,0.92,2.85,52.67,3,2,22740,Belgium
12397,136,2,2409.9,1263,704,631,110,0.0,1214.81,1204.95,4.91,6.46,3.26,-0.0,-0.0,53.5,1,3,22099,Belgium
12398,46,1,1635.66,1394,1394,1394,85,0.0,1635.66,1635.66,4.31,6.21,2.79,-0.0,-0.0,0.0,1,4,22492,Switzerland
12399,2,4,1108.65,1178,494,294,47,0.0,480.9,277.16,2.66,5.13,2.57,1.5,1.58,65.0,2,2,22492,Belgium
12401,99,1,84.3,11,11,11,5,0.0,84.3,84.3,9.68,2.12,1.37,-0.0,-0.0,0.0,4,1,84279B,Belgium
12402,324,1,225.6,94,94,94,11,0.0,225.6,225.6,5.39,3.36,1.49,-0.0,-0.0,0.0,3,3,22326,Belgium
12403,50,1,427.7,96,96,96,5,1.04,427.7,427.7,9.03,1.76,1.37,-0.0,-0.0,0.0,4,3,84997D,Denmark
12405,149,1,1710.39,857,857,857,54,0.0,1710.39,1710.39,4.8,5.33,2.99,-0.0,-0.0,0.0,3,2,21394,Finland
12406,22,2,3415.3,1818,1025,909,92,0.5,1794.05,1707.65,2.9,6.23,3.17,-0.0,-0.0,36.0,2,2,22383,Denmark
12407,50,5,1708.12,1416,522,283,57,0.0,719.06,341.62,3.89,4.82,2.94,1.37,1.5,42.8,2,2,84536B,Belgium
12408,152,5,2888.55,1409,378,281,81,0.71,762.89,577.71,3.99,5.85,3.25,0.72,1.58,30.4,2,3,22630,Belgium
12409,65,3,11072.67,5551,3142,1850,91,0.02,6207.08,3690.89,4.21,6.12,3.18,0.92,1.0,4.67,2,2,21212,Switzerland
12410,252,2,693.33,211,203,105,26,0.95,625.33,346.66,7.78,4.23,2.19,1.0,-0.0,0.0,5,1,21916,Switzerland
12412,75,3,1226.88,829,358,276,43,0.0,514.5,408.96,3.64,5.11,3.15,0.92,1.0,31.33,1,4,84077,Denmark
12413,192,3,758.1,286,180,95,29,1.4,479.25,252.7,6.62,4.51,2.74,0.92,1.0,17.33,4,2,85099B,France
12414,188,3,562.41,300,145,100,16,0.0,242.8,187.47,5.83,3.63,2.59,0.92,1.0,41.0,3,2,20975,Austria
12417,40,9,3649.1,1552,344,172,158,0.77,562.69,405.46,6.9,6.67,2.96,0.99,2.0,35.33,3,2,16161P,Belgium
12418,113,1,668.58,407,407,407,34,0.0,668.58,668.58,3.87,4.62,2.57,-0.0,-0.0,0.0,4,3,84077,Switzerland
12420,153,1,600.39,345,345,345,29,0.0,600.39,600.39,4.41,3.87,2.9,-0.0,-0.0,0.0,6,2,85204,Cyprus
12421,16,4,807.04,484,158,121,32,0.0,239.35,201.76,4.12,4.55,2.96,1.0,1.58,75.75,2,3,22066,Spain
12422,169,3,803.56,370,175,123,39,0.0,417.36,267.85,5.47,5.16,2.78,1.58,1.0,52.0,2,3,21391,Australia
12423,89,8,1859.31,1339,248,167,97,0.0,347.35,232.41,4.2,6.32,3.05,0.95,2.52,33.0,0,2,23084,Belgium
12424,163,2,1760.96,740,532,370,30,0.0,1466.32,880.48,2.78,4.28,2.82,1.0,-0.0,0.0,3,5,84380,Australia
12425,78,1,777.2,496,496,496,36,0.0,777.2,777.2,2.91,4.73,2.74,-0.0,-0.0,0.0,3,4,23076,Portugal
12426,195,1,582.73,258,258,258,30,0.0,582.73,582.73,4.9,4.64,2.92,-0.0,-0.0,0.0,6,5,16161G,Germany
12427,22,3,825.8,533,340,177,26,55.72,303.5,275.27,4.44,3.03,2.93,-0.0,1.0,205.0,2,2,84598,Germany
12428,26,9,7956.46,3536,1273,392,258,0.93,2474.62,884.05,11.38,7.61,3.22,0.5,2.25,34.89,2,1,22984,Finland
12429,9,4,3750.4,1557,512,389,82,0.0,1281.5,937.6,5.06,5.88,3.17,-0.0,1.58,111.0,2,3,22951,Denmark
12430,44,1,256.4,117,117,117,11,0.0,256.4,256.4,6.76,3.25,2.91,-0.0,-0.0,0.0,3,4,22544,Norway
12431,2,15,6487.45,2906,374,193,163,1.24,640.1,432.5,4.77,5.86,3.15,1.24,2.82,46.33,2,2,21731,Australia
12432,43,5,5059.32,1801,1090,360,107,0.0,2862.06,1011.86,27.85,6.23,3.19,0.72,1.0,25.8,2,3,21787,Norway
12433,10,7,13375.87,11071,2299,1581,219,0.0,2843.29,1910.84,3.39,6.9,3.08,0.59,2.32,98.14,1,2,16008,Norway
12434,85,2,806.14,394,317,197,46,2.03,519.89,403.07,3.77,5.26,2.93,1.0,-0.0,87.5,3,3,22128,Australia
12435,80,2,7829.89,2055,1176,1027,31,0.0,3978.99,3914.94,4.8,4.52,2.39,-0.0,-0.0,94.0,2,3,21915,Denmark
12436,335,1,509.01,211,211,211,16,0.0,509.01,509.01,8.41,3.76,2.01,-0.0,-0.0,0.0,6,2,21975,Norway
12437,9,18,4951.41,2922,567,162,118,0.0,736.55,275.08,3.96,6.1,2.95,1.46,2.75,16.72,2,2,21086,France
12438,15,2,2906.85,1180,594,590,84,0.0,2016.78,1453.43,5.24,6.09,3.22,-0.0,-0.0,62.5,4,4,16219,Norway
12441,485,1,173.55,121,121,121,11,0.0,173.55,173.55,5.17,3.01,2.3,-0.0,-0.0,0.0,3,2,22051,France
12442,181,1,172.06,182,182,182,12,0.0,172.06,172.06,4.5,3.34,2.28,-0.0,-0.0,0.0,6,2,23546,Spain
12444,0,5,5005.46,1153,582,230,138,0.0,1870.2,1001.09,6.37,6.78,2.82,-0.0,1.5,34.2,3,2,21669,Norway
12445,22,1,133.4,62,62,62,4,0.0,133.4,133.4,10.23,1.68,1.5,-0.0,-0.0,0.0,3,3,85034B,Spain
12446,58,1,1002.31,351,351,351,57,0.0,1002.31,1002.31,4.46,5.62,3.08,-0.0,-0.0,0.0,3,2,21889,RSA
12447,67,1,476.49,190,190,190,26,0.0,476.49,476.49,4.61,4.53,2.63,-0.0,-0.0,0.0,1,1,22551,Belgium
12448,45,1,449.45,243,243,243,22,0.0,449.45,449.45,8.02,4.15,2.74,-0.0,-0.0,0.0,2,4,21084,Spain
12449,23,4,4067.29,1553,524,388,118,0.0,1342.71,1016.82,4.28,6.58,3.19,-0.0,1.58,70.5,3,2,22326,Belgium
12450,174,2,197.88,128,64,64,7,0.0,101.88,98.94,1.54,2.47,2.25,-0.0,-0.0,5.5,3,2,23209,Spain
12451,11,5,9035.52,6575,2334,1315,265,1.83,2919.51,1807.1,4.84,7.48,3.19,0.72,2.0,62.6,2,2,22554,Switzerland
12452,17,2,430.57,185,183,92,21,1.08,350.57,215.29,5.41,4.12,3.2,1.0,-0.0,0.0,2,4,23076,Switzerland
12453,135,1,707.09,473,473,473,43,0.0,707.09,707.09,2.86,5.14,2.77,-0.0,-0.0,0.0,3,4,21498,Austria
12454,57,1,3528.34,1006,1006,1006,15,100.0,3528.34,3528.34,8.94,3.28,2.23,-0.0,-0.0,0.0,4,2,72802C,Spain
12455,74,6,2466.86,2089,1522,348,85,0.0,1683.9,411.14,4.39,5.6,3.11,1.46,2.32,37.17,2,2,22335,Spain
12456,45,3,3181.04,1633,628,544,105,1.04,1325.23,1060.35,5.31,6.23,3.13,-0.0,1.0,70.0,3,4,22492,Switzerland
12457,82,7,2363.23,843,376,120,53,17.08,743.28,337.6,5.98,4.83,3.04,1.38,0.65,23.0,2,2,23199,Switzerland
12458,72,2,947.4,506,270,253,35,0.0,505.48,473.7,5.44,4.63,3.08,-0.0,-0.0,106.5,1,4,21829,Switzerland
12461,125,2,826.88,287,282,143,35,0.0,626.88,413.44,5.66,4.93,2.95,1.0,-0.0,29.0,4,1,21650,Switzerland
12462,19,2,1189.59,536,287,268,51,0.0,762.11,594.8,4.92,5.19,2.85,-0.0,-0.0,39.5,2,2,22065,Spain
12463,6,4,1344.78,776,220,194,65,2.32,358.99,336.2,3.83,5.75,3.09,-0.0,1.58,50.25,2,2,22629,Belgium
12464,11,8,1212.05,112,21,14,6,0.0,281.9,151.51,11.59,2.41,0.58,0.81,2.25,34.25,1,3,22467,Belgium
12465,18,2,742.19,479,294,239,46,0.0,440.94,371.1,3.77,5.22,3.06,1.0,-0.0,76.0,2,4,22740,Belgium
12468,218,2,729.54,366,239,183,36,0.55,508.95,364.77,4.36,4.87,3.03,1.0,-0.0,49.0,3,2,22492,Germany
12471,11,30,19824.05,8212,1075,273,150,2.83,2238.51,660.8,11.61,6.34,3.19,1.36,2.43,13.77,2,2,22741,Germany
12472,52,7,6572.11,4148,972,592,219,2.0,1631.3,938.87,4.5,7.34,3.14,0.59,2.25,74.86,2,2,22467,Germany
12473,54,5,3938.55,2439,1557,487,140,2.99,1697.98,787.71,32.26,6.75,3.02,0.72,1.58,56.8,1,2,22339,Germany
12474,3,18,7375.79,4847,554,269,253,1.34,806.47,409.77,4.8,7.48,3.15,1.44,2.35,18.17,2,3,20719,Germany
12475,54,1,723.38,535,535,535,36,0.0,723.38,723.38,3.77,4.48,3.14,-0.0,-0.0,0.0,0,3,16045,Germany
12476,16,11,6816.42,2408,628,218,177,1.54,1750.46,619.67,5.35,6.89,3.12,1.31,2.73,31.36,1,3,84879,Germany
12477,23,6,13219.74,3653,1151,608,191,0.82,4257.06,2203.29,5.34,6.98,2.98,-0.0,1.92,36.0,3,2,22244,Germany
12478,181,1,680.99,236,236,236,36,0.0,680.99,680.99,6.02,4.96,2.95,-0.0,-0.0,0.0,6,2,20982,Greece
12479,12,1,527.2,385,385,385,31,0.0,527.2,527.2,4.13,4.73,2.74,-0.0,-0.0,0.0,0,4,20973,Germany
12480,29,4,3281.63,1707,611,426,129,0.0,1136.68,820.41,4.0,6.38,3.15,-0.0,1.58,59.75,3,2,22629,Germany
12481,23,10,5596.32,3304,790,330,150,0.42,1307.76,559.63,4.09,6.81,3.11,1.3,2.81,43.0,2,2,22556,Germany
12483,18,8,2484.98,1110,293,138,46,0.27,547.56,310.62,4.72,5.12,3.24,1.56,2.24,35.75,2,2,22467,Sweden
12484,101,6,4541.72,2191,800,365,256,0.23,1246.49,756.95,4.29,7.33,3.21,0.92,2.32,23.5,2,2,22693,Spain
12488,10,3,1298.66,529,270,176,46,0.0,553.39,432.89,4.23,5.1,3.19,0.92,1.0,21.67,2,4,21731,France
12489,162,1,334.93,105,105,105,15,0.0,334.93,334.93,6.31,3.51,2.55,-0.0,-0.0,0.0,4,1,22027,France
12490,18,10,5417.93,3064,650,306,131,0.0,1035.82,541.79,4.04,6.56,3.14,0.72,2.73,31.2,2,2,23084,France
12491,333,1,460.4,260,260,260,25,0.0,460.4,460.4,4.83,3.74,2.89,-0.0,-0.0,0.0,1,2,20973,France
12492,106,2,263.21,192,123,96,19,0.0,136.82,131.6,3.57,4.01,2.72,-0.0,-0.0,23.0,5,3,16169E,Germany
12493,166,2,433.74,207,119,103,20,0.48,232.5,216.87,6.19,3.95,2.28,1.0,-0.0,15.5,1,4,15036,France
12494,16,7,1246.1,707,209,101,63,1.98,403.09,178.01,4.0,5.75,3.11,1.38,2.25,62.43,4,3,21212,France
12497,82,1,1043.1,1236,1236,1236,14,0.0,1043.1,1043.1,3.97,3.63,2.06,-0.0,-0.0,0.0,0,3,21495,Germany
12498,22,3,403.7,159,81,53,21,0.0,247.25,134.57,5.14,4.19,2.21,0.92,-0.0,12.0,3,2,20728,Germany
12500,24,10,4254.82,2677,577,267,33,0.11,1096.65,425.48,5.67,3.24,2.64,1.49,2.73,27.2,3,2,22585,Germany
12501,162,1,2169.39,1783,1783,1783,149,0.0,2169.39,2169.39,4.02,6.85,3.12,-0.0,-0.0,0.0,4,1,84826,Germany
12502,188,5,3723.87,820,234,164,102,0.0,1092.35,744.77,6.39,6.1,2.64,-0.0,1.5,18.8,2,1,22741,Spain
12504,19,2,482.05,90,87,45,6,3.33,449.4,241.02,10.23,2.39,0.76,1.0,-0.0,35.5,3,2,21122,Germany
12506,233,1,73.5,23,23,23,23,0.0,73.5,73.5,3.25,4.52,2.96,-0.0,-0.0,0.0,3,3,21658,France
12507,135,3,1304.81,894,664,298,19,1.23,811.9,434.94,4.91,3.47,2.93,0.92,1.0,54.67,2,2,23297,Spain
12508,27,2,398.27,272,203,136,57,0.0,275.19,199.14,1.79,5.57,2.97,1.0,-0.0,16.0,3,2,22219,France
12509,285,1,176.5,55,55,55,7,0.0,176.5,176.5,8.07,2.62,1.56,-0.0,-0.0,0.0,0,4,20723,France
12510,143,2,982.57,353,294,176,29,0.0,681.05,491.28,5.73,4.53,2.85,1.0,-0.0,91.0,1,3,21137,Spain
12512,244,2,138.03,99,95,49,31,0.0,122.33,69.02,2.88,3.91,2.94,-0.0,-0.0,0.0,6,2,16161P,Israel
12513,113,1,612.29,462,462,462,35,1.3,612.29,612.29,3.64,4.95,2.76,-0.0,-0.0,0.0,4,3,16161U,France
12514,268,1,1017.68,440,440,440,51,0.0,1017.68,1017.68,4.42,5.53,2.83,-0.0,-0.0,0.0,3,3,21700,Italy
12515,354,1,383.7,131,131,131,16,0.0,383.7,383.7,7.28,3.5,2.6,-0.0,-0.0,0.0,1,3,21976,Italy
12516,4,2,1312.06,875,530,437,20,0.0,728.86,656.03,3.11,3.94,1.69,-0.0,-0.0,37.0,2,2,22945,Germany
12517,29,5,2502.84,1371,421,274,232,1.68,771.75,500.57,3.95,7.46,3.13,0.72,1.58,55.4,4,2,21238,Germany
12518,0,5,2056.89,1318,324,263,84,0.0,524.9,411.38,3.56,6.1,3.16,0.97,2.0,22.0,3,2,22705,Germany
12519,153,1,340.84,183,183,183,17,0.0,340.84,340.84,3.75,3.88,2.42,-0.0,-0.0,0.0,6,2,20975,Germany
12520,37,5,2634.26,1439,618,287,121,0.0,987.42,526.85,4.93,6.63,3.21,0.97,1.5,44.6,2,2,51014A,Germany
12521,143,1,599.68,309,309,309,38,0.0,599.68,599.68,5.21,5.07,2.79,-0.0,-0.0,0.0,2,3,23199,Germany
12522,40,2,192.72,194,129,97,11,0.0,103.32,96.36,4.03,2.41,2.92,-0.0,-0.0,6.0,1,4,16045,Germany
12523,9,11,1789.77,865,148,78,84,0.0,262.42,162.71,6.27,5.51,2.97,0.85,2.32,30.09,2,2,23231,France
12524,10,8,4485.72,3699,1299,462,113,0.0,1094.33,560.71,3.75,5.98,3.1,0.95,2.52,41.12,3,2,23379,Germany
12526,54,3,1316.66,632,318,210,64,0.0,520.3,438.89,4.25,5.81,3.2,0.92,1.0,43.0,1,2,21731,Germany
12527,82,3,348.71,234,113,78,18,0.0,152.4,116.24,4.21,3.86,2.64,-0.0,1.0,81.0,1,3,16168M,Germany
12528,10,6,1933.48,756,281,126,50,0.66,493.53,322.25,6.21,5.19,2.91,0.65,2.32,50.5,2,3,21232,Germany
12530,30,4,1662.28,913,313,228,51,1.42,440.63,415.57,4.83,4.99,3.12,0.81,1.58,51.0,2,2,22338,Germany
