CustomerID,Monetary,NTransactions,TotItems,cat_0,cat_1,cat_2,UniqueItems,E-Sale
12347,4310.0,182,2458,1880,547,31,103,5.86
12348,1797.24,31,2341,2332,0,9,22,0.91
12349,1757.55,73,631,478,115,38,73,3.77
12350,334.4,17,197,190,6,1,17,2.48
12352,2506.04,85,536,354,146,36,59,2.55
12353,89.0,4,20,8,6,6,4,1.67
12354,1079.4,58,530,430,77,23,58,5.3
12355,459.4,13,240,192,44,4,13,3.32
12356,2811.43,59,1591,1346,170,75,53,4.48
12357,6207.67,131,2708,1766,823,119,131,6.43
12358,1168.06,19,248,96,142,10,13,2.55
12359,6372.58,243,1622,1004,433,185,214,5.94
12360,2662.06,129,1165,884,240,41,105,5.16
12361,189.9,10,91,78,12,1,10,2.71
12362,5226.23,266,2229,1516,628,85,201,6.68
12363,552.0,23,408,336,66,6,23,3.91
12364,1313.1,85,1506,1467,30,9,70,4.42
12365,641.38,22,174,124,48,2,22,1.21
12367,168.9,11,173,170,2,1,11,2.42
12370,3545.69,166,2353,1797,531,25,143,6.5
12371,1887.96,63,591,298,276,17,63,5.41
12372,1298.04,52,794,674,104,16,34,3.83
12373,364.6,14,197,172,24,1,14,2.31
12374,742.93,33,342,265,66,11,33,3.99
12375,457.5,17,178,160,12,6,14,1.99
12377,1628.12,77,944,704,230,10,72,5.4
12378,4008.62,219,2529,2053,432,44,219,7.24
12379,852.24,40,407,300,102,5,39,4.57
12380,2724.81,104,1127,831,253,43,77,5.28
12381,1845.31,87,808,641,134,33,70,4.56
12383,1850.56,99,1532,1403,90,39,84,4.81
12384,585.27,27,126,65,42,19,26,3.67
12386,401.9,10,354,332,22,0,10,2.85
12388,2780.66,100,1462,988,462,12,57,5.23
12390,549.84,32,353,298,46,9,32,4.23
12391,460.89,92,300,241,57,2,92,6.11
12393,1582.6,63,816,642,174,0,47,5.32
12394,1272.48,27,819,716,90,13,26,3.68
12395,3018.63,156,2118,1818,257,43,91,4.84
12397,2409.9,126,1263,1020,191,52,110,5.97
12398,1635.66,85,1394,1285,98,11,85,5.28
12399,1108.65,59,1178,1154,19,5,47,3.67
12401,84.3,5,11,0,7,4,5,2.17
12402,225.6,11,94,74,18,2,11,2.91
12403,427.7,5,96,0,94,2,5,1.98
12405,1710.39,54,857,629,200,28,54,4.92
12406,3415.3,105,1818,1371,425,22,92,5.98
12407,1708.12,77,1416,1295,95,26,57,4.48
12408,2888.55,105,1409,1040,335,34,81,5.4
12409,11072.67,109,5551,4058,1325,168,91,5.74
12410,693.33,26,211,156,21,34,26,4.02
12412,1226.88,61,829,698,126,5,43,4.25
12413,758.1,38,286,182,86,18,29,4.08
12414,562.41,18,300,264,33,3,16,1.53
12415,124914.53,714,77374,61675,14555,1144,444,7.33
12417,3649.1,192,1552,1095,341,116,158,6.15
12418,668.58,34,407,321,58,28,34,4.48
12420,600.39,29,345,262,64,19,29,4.36
12421,807.04,45,484,409,68,7,32,2.91
12422,803.56,39,370,297,67,6,39,4.28
12423,1859.31,125,1339,1198,117,24,97,4.83
12424,1760.96,30,740,408,332,0,30,4.68
12425,777.2,36,496,436,56,4,36,4.69
12426,582.73,30,258,191,56,11,30,4.31
12427,825.8,31,533,466,34,33,26,3.55
12428,7956.46,294,3536,2727,655,154,258,5.92
12429,3750.4,97,1557,1020,460,77,82,5.39
12430,256.4,11,117,96,16,5,11,2.06
12431,6487.45,234,2906,2228,583,95,163,6.66
12432,5059.32,108,1801,1262,426,113,107,3.2
12433,13375.87,420,11071,9826,1185,60,219,7.18
12434,806.14,50,394,294,78,22,46,4.83
12435,7829.89,36,2055,1232,306,517,31,4.55
12436,509.01,16,211,126,83,2,16,2.85
12437,4951.41,199,2922,2498,290,134,118,4.63
12438,2906.85,98,1180,882,208,90,84,5.24
12441,173.55,11,121,87,33,1,11,2.65
12442,172.06,12,182,169,12,1,12,1.79
12444,5005.46,176,1153,624,340,189,138,5.95
12445,133.4,4,62,60,0,2,4,0.74
12446,1002.31,57,351,236,90,25,57,5.4
12447,476.49,26,190,132,49,9,26,4.26
12448,449.45,22,243,216,21,6,22,2.61
12449,4067.29,191,1553,1006,416,131,118,6.0
12450,197.88,8,128,122,6,0,7,2.65
12451,9035.52,354,6575,5810,685,80,265,7.19
12452,430.57,22,185,142,33,10,21,3.28
12453,707.09,43,473,402,71,0,43,5.06
12454,3528.34,15,1006,488,464,54,15,3.18
12455,2466.86,90,2089,1922,154,13,85,4.32
12456,3181.04,125,1633,1376,182,75,105,5.28
12457,2363.23,62,843,638,175,30,53,4.16
12458,947.4,38,506,440,56,10,35,3.41
12461,826.88,35,287,194,62,31,35,4.24
12462,1189.59,62,536,434,68,34,51,4.65
12463,1344.78,83,776,649,115,12,65,4.66
12464,1212.05,29,112,0,30,82,6,2.27
12465,742.19,47,479,408,65,6,46,4.69
12468,729.54,38,366,262,95,9,36,4.25
12471,19824.05,459,8212,6503,1086,623,150,4.68
12472,6572.11,339,4148,3671,401,76,219,6.45
12473,3938.55,167,2439,2261,146,32,140,2.29
