CustomerID,Recency,Frequency,Monetary,TotItems,MaxItems,MeanItems,UniqueItems,PrefItem,MaxSale,MeanSale,MeanItemSale,E-Qta,E-Sale,WeekDayPref,WeekMonthPref,MainCountry,PReturn
12347,40,7,4310.0,2458,676,351,103,23076,1294.32,615.71,3.13,6.02,5.86,0,2,Iceland,0.0
12348,76,4,1797.24,2341,1254,585,22,23077,892.8,449.31,6.4,4.23,0.91,3,3,Finland,0.0
12349,19,1,1757.55,631,631,631,73,21231,1757.55,1757.55,14.89,5.8,3.77,0,3,Italy,0.0
12350,311,1,334.4,197,197,197,17,22348,334.4,334.4,7.18,3.98,2.48,2,1,Norway,0.0
12352,73,8,2506.04,536,127,67,59,84050,840.3,313.26,38.74,5.57,2.55,1,2,Norway,11.75
12353,204,1,89.0,20,20,20,4,37446,89.0,89.0,4.78,1.85,1.67,3,3,Bahrain,0.0
12354,233,1,1079.4,530,530,530,58,21239,1079.4,1079.4,5.27,5.29,5.3,3,3,Spain,0.0
12355,96,1,459.4,240,240,240,13,23076,459.4,459.4,5.39,2.65,3.32,0,1,Bahrain,0.0
12356,23,3,2811.43,1591,1216,530,53,84991,2271.62,937.14,4.44,5.27,4.48,2,2,Portugal,0.0
12357,182,1,6207.67,2708,2708,2708,131,22632,6207.67,6207.67,4.93,6.68,6.43,5,2,Switzerland,0.0
12358,3,2,1168.06,248,148,124,13,15056BL,683.2,584.03,8.19,3.24,2.55,3,1,Austria,0.0
12359,9,4,6372.58,1622,657,405,214,22423,2876.85,1593.15,13.87,7.34,5.94,4,1,Cyprus,0.0
12360,53,3,2662.06,1165,491,388,105,22492,1083.58,887.35,5.09,6.53,5.16,1,3,Austria,0.0
12361,288,1,189.9,91,91,91,10,22555,189.9,189.9,5.39,3.18,2.71,4,4,Belgium,0.0
12362,30,10,5226.23,2229,340,222,201,22629,829.99,522.62,5.39,7.19,6.68,2,2,Belgium,0.72
12363,36,2,552.0,408,282,204,23,22952,299.1,276.0,3.08,4.29,3.91,2,2,Unspecified,0.0
12364,41,4,1313.1,1506,555,376,70,23310,623.92,328.28,3.34,5.69,4.42,4,3,Belgium,0.0
12365,292,2,641.38,174,173,87,22,20972,320.69,320.69,38.82,4.26,1.21,0,3,Cyprus,0.0
12367,212,1,168.9,173,173,173,11,16237,168.9,168.9,4.09,2.86,2.42,3,2,Denmark,0.0
12370,52,4,3545.69,2353,1005,588,143,84568,1590.82,886.42,5.22,5.98,6.5,1,2,Cyprus,0.0
12371,30,2,1887.96,591,582,295,63,72741,1527.96,943.98,5.42,5.74,5.41,2,3,Switzerland,0.0
12372,35,3,1298.04,794,368,264,34,22556,515.7,432.68,5.02,4.77,3.83,3,3,Denmark,0.0
